logTP,fit,se,lwr,upr,LM,JB,DR,TSI
3.480712253,2.485038444,0.023657775,2.446085299,2.52399159,10.53101037,13.09227208,11.33111017,13.48465073
3.490712253,2.500038543,0.023829078,2.460803343,2.539273742,10.67011336,13.28482144,11.49649326,13.6814658
3.500712253,2.515001651,0.024004,2.475478438,2.554524865,10.81105375,13.48020265,11.6642902,13.88115348
3.510712253,2.529926992,0.024182294,2.490110213,2.569743771,10.95385581,13.67845735,11.83453622,14.0837557
3.520712253,2.544813795,0.024363706,2.504698316,2.584929273,11.09854412,13.87962779,12.00726707,14.289315
3.530712253,2.559661297,0.024547979,2.519242408,2.600080187,11.2451436,14.08375688,12.182519,14.49787454
3.540712253,2.574468747,0.024734854,2.533742164,2.615195331,11.3936795,14.29088811,12.36032882,14.70947811
3.550712253,2.589235401,0.024924069,2.548197271,2.630273532,11.5441774,14.50106563,12.54073386,14.92417013
3.560712253,2.603960524,0.025115359,2.562607429,2.64531362,11.6966632,14.71433426,12.72377201,15.14199569
3.570712253,2.618643391,0.025308463,2.576972345,2.660314436,11.85116318,14.93073946,12.90948168,15.36300052
3.580712253,2.633283284,0.025503116,2.591291737,2.675274832,12.00770393,15.15032735,13.09790188,15.58723103
3.590712253,2.647879499,0.025699057,2.60556533,2.690193668,12.1663124,15.37314473,13.28907216,15.81473429
3.600712253,2.662431337,0.025896025,2.619792855,2.70506982,12.32701592,15.59923912,13.48303266,16.04555807
3.610712253,2.676938112,0.026093763,2.633974049,2.719902175,12.48984216,15.8286587,13.67982412,16.27975083
3.620712253,2.691399145,0.026292016,2.648108654,2.734689635,12.65481915,16.06145237,13.87948784,16.51736176
3.630712253,2.705813768,0.026490531,2.662196417,2.74943112,12.82197531,16.29766977,14.08206575,16.75844073
3.640712253,2.720181325,0.026689062,2.676237087,2.764125562,12.99133941,16.53736124,14.28760039,17.00303836
3.650712253,2.734501166,0.026887365,2.690230418,2.778771915,13.16294062,16.78057787,14.4961349,17.25120602
3.660712253,2.748772655,0.027085202,2.704176162,2.793369148,13.3368085,17.02737152,14.70771308,17.50299581
3.670712253,2.762995164,0.02728234,2.718074078,2.807916251,13.51297298,17.27779479,14.92237934,17.75846059
3.680712253,2.777168076,0.027478552,2.731923921,2.82241223,13.69146439,17.53190105,15.14017876,18.017654
3.690712253,2.791290783,0.027673616,2.745725451,2.836856116,13.87231348,17.78974448,15.36115708,18.28063047
3.700712253,2.80536269,0.027867317,2.759478425,2.851246956,14.05555139,18.05138005,15.58536067,18.54744521
3.710712253,2.819383211,0.028059445,2.773182602,2.865583821,14.24120967,18.31686351,15.81283663,18.81815425
3.720712253,2.833351771,0.028249799,2.786837739,2.879865803,14.42932028,18.58625146,16.04363272,19.09281441
3.730712253,2.847267804,0.028438182,2.800443594,2.894092014,14.61991563,18.85960133,16.27779738,19.37148337
3.740712253,2.861130757,0.028624407,2.813999922,2.908261591,14.81302854,19.13697139,16.51537979,19.65421964
3.750712253,2.874940086,0.028808293,2.827506479,2.922373693,15.00869225,19.41842075,16.75642983,19.94108259
3.760712253,2.888695259,0.028989665,2.840963018,2.9364275,15.20694046,19.70400942,17.00099812,20.23213244
3.770712253,2.902395755,0.029168358,2.854369291,2.950422218,15.40780731,19.99379827,17.249136,20.5274303
3.780712253,2.916041061,0.029344213,2.867725048,2.964357074,15.6113274,20.28784907,17.50089557,20.82703819
3.790712253,2.929630679,0.029517079,2.881030037,2.978231321,15.81753575,20.5862245,17.7563297,21.13101899
3.800712253,2.943164119,0.029686813,2.894284005,2.992044233,16.02646789,20.88898818,18.01549202,21.43943654
3.810712253,2.956640902,0.029853282,2.907486694,3.005795111,16.23815979,21.19620463,18.27843693,21.7523556
3.820712253,2.970060562,0.030016356,2.920637847,3.019483277,16.45264791,21.50793934,18.54521965,22.06984187
3.830712253,2.983422642,0.030175919,2.933737203,3.03310808,16.66996918,21.82425877,18.8158962,22.391962
3.840712253,2.996726696,0.030331858,2.946784498,3.046668893,16.89016102,22.14523034,19.09052341,22.71878364
3.850712253,3.00997229,0.030484073,2.959779467,3.060165112,17.11326135,22.47092247,19.36915893,23.05037539
3.860712253,3.023159,0.030632468,2.972721841,3.073596159,17.3393086,22.80140459,19.65186128,23.38680689
3.870712253,3.036286414,0.030776958,2.985611349,3.08696148,17.56834167,23.13674714,19.9386898,23.72814877
3.880712253,3.049354131,0.030917465,2.998447716,3.100260545,17.80040002,23.4770216,20.22970473,24.07447271
3.890712253,3.062361758,0.031053921,3.011230666,3.11349285,18.0355236,23.82230052,20.52496716,24.42585141
3.900712253,3.075308918,0.031186264,3.023959919,3.126657916,18.27375291,24.17265749,20.82453909,24.78235865
3.910712253,3.08819524,0.031314442,3.036635192,3.139755288,18.51512896,24.5281672,21.12848342,25.14406929
3.920712253,3.101020367,0.031438413,3.049256199,3.152784536,18.75969332,24.88890542,21.43686397,25.51105928
3.930712253,3.113783953,0.03155814,3.061822651,3.165745254,19.0074881,25.25494906,21.74974548,25.88340566
3.940712253,3.126485659,0.031673596,3.074334255,3.178637063,19.25855598,25.62637613,22.06719365,26.26118662
3.950712253,3.139125162,0.031784765,3.086790716,3.191459608,19.51294019,26.00326582,22.38927513,26.64448148
3.960712253,3.151702146,0.031891635,3.099191735,3.204212557,19.77068453,26.38569847,22.71605755,27.03337072
3.970712253,3.164216308,0.031994207,3.111537009,3.216895606,20.03183339,26.77375559,23.04760951,27.42793598
3.980712253,3.176667354,0.032092488,3.123826233,3.229508474,20.29643174,27.16751991,23.38400064,27.82826012
3.990712253,3.189055002,0.032186494,3.136059098,3.242050906,20.56452514,27.56707536,23.72530157,28.23442718
4.000712253,3.20137898,0.03227625,3.14823529,3.254522669,20.83615975,27.97250711,24.07158394,28.64652245
4.010712253,3.213639026,0.03236179,3.160354493,3.26692356,21.11138236,28.38390158,24.42292048,29.06463245
4.020712253,3.22583489,0.032443156,3.172416386,3.279253395,21.39024035,28.80134648,24.77938495,29.48884497
4.030712253,3.237966332,0.032520398,3.184420646,3.291512018,21.67278175,29.22493078,25.14105218,29.91924908
4.040712253,3.250033121,0.032593578,3.196366944,3.303699298,21.95905521,29.65474477,25.50799813,30.35593515
4.050712253,3.262035038,0.032662761,3.208254948,3.315815128,22.24911003,30.09088009,25.88029984,30.79899487
4.060712253,3.273971873,0.032728027,3.220084322,3.327859424,22.54299614,30.53342969,26.25803547,31.24852126
4.070712253,3.285843428,0.032789459,3.231854726,3.33983213,22.84076417,30.98248791,26.64128434,31.7046087
4.080712253,3.297649513,0.032847154,3.243565816,3.35173321,23.14246539,31.43815048,27.03012691,32.16735297
4.090712253,3.309389949,0.032901213,3.255217242,3.363562656,23.44815174,31.90051452,27.42464482,32.63685121
4.100712253,3.321064568,0.032951748,3.266808653,3.375320483,23.75787587,32.36967859,27.82492093,33.11320202
4.110712253,3.33267321,0.032998881,3.278339691,3.38700673,24.07169112,32.84574271,28.23103925,33.59650539
4.120712253,3.344215727,0.033042739,3.289809994,3.39862146,24.38965151,33.32880835,28.64308507,34.08686281
4.130712253,3.355691979,0.03308346,3.301219197,3.41016476,24.71181181,33.81897849,29.0611449,34.58437724
4.140712253,3.367101836,0.033121191,3.31256693,3.421636742,25.03822749,34.31635761,29.48530652,35.08915314
4.150712253,3.378445178,0.033156085,3.323852817,3.433037539,25.36895477,34.82105173,29.91565899,35.60129648
4.160712253,3.389721895,0.033188307,3.33507648,3.44436731,25.70405058,35.33316844,30.35229266,36.12091481
4.170712253,3.400931885,0.033218028,3.346237535,3.455626236,26.04357264,35.85281691,30.79529921,36.64811723
4.180712253,3.412075058,0.033245427,3.357335594,3.466814522,26.38757941,36.38010789,31.24477166,37.18301442
4.190712253,3.423151329,0.033270692,3.368370265,3.477932394,26.73613012,36.9151538,31.70080438,37.72571869
4.200712253,3.434160627,0.03329402,3.379341152,3.488980102,27.08928481,37.45806868,32.16349312,38.276344
4.210712253,3.445102886,0.033315616,3.390247854,3.499957918,27.44710428,38.00896826,32.63293503,38.83500596
4.220712253,3.455978051,0.03333569,3.401089966,3.510866136,27.80965015,38.56796998,33.10922867,39.40182186
4.230712253,3.466786076,0.033354464,3.411867079,3.521705072,28.17698485,39.13519299,33.59247405,39.97691071
4.240712253,3.477526922,0.033372164,3.422578782,3.532475062,28.54917163,39.71075821,34.08277263,40.56039327
4.250712253,3.488200562,0.033389025,3.43322466,3.543176465,28.92627459,40.29478833,34.58022737,41.15239204
4.260712253,3.498806974,0.03340529,3.443804291,3.553809657,29.30835866,40.88740783,35.08494269,41.75303133
4.270712253,3.509346147,0.033421207,3.454317256,3.564375037,29.69548964,41.48874305,35.59702459,42.36243723
